hour,day_name,category,followers_count,duration_seconds,hashtag_count,caption_length,has_trending_audio,female_presence_score,face_count,brightness_score,colorfulness_score,engagement_rate,engagement_score,source,is_weekend,is_peak_hour,is_morning,is_high_eng_category,is_short_reel,followers_log,hashtag_optimal,engagement_potential,day_num,category_enc
17,Tuesday,Education,272455,90,15,169,0,0.81,0,0.97,0.77,0.113,9950,original,0,0,0,0,0,12.515232412158184,1,5.516092964863274,1,1
10,Thursday,Entertainment,108355,15,16,297,1,0.78,1,0.45,0.75,0.092,11353,original,0,0,1,1,1,11.59317738152729,0,5.033270952610916,3,2
22,Friday,Lifestyle,240796,60,12,297,0,0.76,4,0.48,0.91,0.119,14270,original,0,0,0,0,0,12.391709533867434,1,5.386683813546974,4,3
22,Sunday,Lifestyle,219176,15,13,235,0,0.19,3,0.98,0.75,0.083,11420,original,1,0,0,0,1,12.297634901543475,1,5.30305396061739,6,3
8,Monday,Entertainment,189779,15,4,20,0,0.09,4,0.81,0.43,0.075,7473,original,0,0,1,1,1,12.15362078552775,0,5.1274483142111,0,2
10,Monday,Business,352449,90,11,19,1,0.7,2,0.79,0.76,0.081,5725,original,0,0,1,0,0,12.772664047202023,1,5.559065618880809,0,0
23,Tuesday,Entertainment,426909,60,19,280,1,0.37,0,0.9,0.44,0.096,9706,original,0,0,0,1,0,12.964328497161322,0,5.527731398864529,1,2
22,Saturday,Sports,470148,60,5,282,1,0.43,2,0.38,0.81,0.069,7550,original,1,0,0,1,0,13.06080494472221,1,5.548321977888884,5,4
20,Tuesday,Entertainment,263795,60,8,192,1,0.03,3,0.79,0.7,0.076,7623,original,0,1,0,1,0,12.482931356148118,1,5.297172542459248,1,2
16,Wednesday,Lifestyle,491232,45,7,162,0,0.26,2,0.65,0.26,0.108,6711,original,0,0,0,0,1,13.104673835968857,1,5.4758695343875425,2,3
20,Friday,Business,397752,90,7,133,1,0.03,4,0.88,0.61,0.105,10628,original,0,1,0,0,0,12.893586488597736,1,5.461434595439095,4,0
21,Saturday,Education,161730,60,17,123,0,0.88,2,0.66,0.47,0.112,12983,original,1,1,0,0,0,11.993689740239455,0,5.199475896095782,5,1
17,Monday,Tech,351622,45,19,287,1,0.24,3,0.73,0.46,0.1,15101,original,0,0,0,0,1,12.77031485789827,0,5.394125943159308,0,5
7,Monday,Lifestyle,389681,30,11,222,1,0.56,3,0.63,0.68,0.096,7808,original,0,0,1,0,1,12.873086300883594,1,5.523234520353439,0,3
9,Tuesday,Lifestyle,154503,30,5,181,1,0.04,3,0.63,0.46,0.111,7760,original,0,0,1,0,1,11.947975264952435,1,5.005190105980974,1,3
6,Thursday,Sports,135523,45,19,297,0,0.67,4,0.84,0.82,0.096,7760,original,0,0,0,1,1,11.8169040253889,0,5.192761610155561,3,4
17,Thursday,Sports,7747,45,12,183,1,0.32,3,0.74,0.26,0.107,12203,original,0,0,0,1,1,8.955190024526887,1,3.8460760098107554,3,4
19,Friday,Business,128855,90,5,122,0,0.9,0,0.74,0.73,0.085,7444,original,0,1,0,0,0,11.766450780770516,1,5.180580312308206,4,0
20,Tuesday,Business,457366,90,19,131,1,0.89,3,0.62,0.85,0.077,9649,original,0,1,0,0,0,13.033241411050744,0,5.685296564420297,1,0
15,Wednesday,Tech,70725,30,5,41,1,0.33,2,0.67,0.74,0.087,6838,original,0,0,0,0,1,11.166568535341638,1,4.814627414136655,2,5
15,Friday,Tech,134981,60,5,231,1,0.9,2,0.82,0.6,0.086,8635,original,0,0,0,0,0,11.812896715197555,1,5.189158686079022,4,5
23,Monday,Tech,89654,30,8,128,1,1.0,2,0.88,0.96,0.072,7557,original,0,0,0,0,1,11.403724249926464,1,5.129489699970586,0,5
9,Monday,Education,433989,60,15,48,1,0.83,4,0.79,0.44,0.092,7097,original,0,0,1,0,0,12.980776771342429,1,5.604310708536973,0,1
23,Tuesday,Sports,386490,60,17,277,0,0.84,2,0.95,0.22,0.109,16268,original,0,0,0,1,0,12.864863860839398,0,5.54794554433576,1,4
23,Wednesday,Lifestyle,72435,90,11,242,1,0.25,4,0.87,0.55,0.073,8585,original,0,0,0,0,0,11.190458692361233,1,4.810183476944494,2,3
22,Saturday,Tech,324030,15,6,27,0,0.58,4,0.69,0.23,0.108,13892,original,1,0,0,0,1,12.688594469209868,1,5.375437787683947,5,5
14,Sunday,Business,333947,15,16,158,1,0.07,3,0.77,0.96,0.075,6872,original,1,0,0,0,1,12.718740571215351,0,5.447496228486141,6,0
7,Tuesday,Sports,36551,45,7,158,1,0.09,0,0.95,0.37,0.087,6961,original,0,0,1,1,1,10.506491183243108,1,4.484596473297244,1,4
21,Wednesday,Business,383360,90,4,135,1,1.0,3,0.73,0.83,0.071,8460,original,0,1,0,0,0,12.856732382979954,0,5.654692953191983,2,0
15,Friday,Lifestyle,278538,60,13,247,1,0.33,3,0.88,0.82,0.097,6495,original,0,0,0,0,0,12.537313364452006,1,5.420925345780803,4,3
17,Sunday,Sports,336236,15,11,144,1,0.75,4,0.78,0.37,0.087,12406,original,1,0,0,1,1,12.725571547440765,1,5.470228618976306,6,4
15,Tuesday,Business,8890,60,5,160,0,0.81,4,0.69,0.7,0.095,6998,original,0,0,0,0,0,9.09279480812114,1,4.077117923248456,1,0
14,Tuesday,Business,46606,15,11,245,1,0.86,2,0.47,0.24,0.098,9193,original,0,0,0,0,1,10.74950602342493,1,4.613802409369972,1,0
7,Wednesday,Business,494492,15,5,233,0,1.0,2,0.6,0.59,0.093,5672,original,0,0,1,0,1,13.11128827423187,1,5.682515309692748,2,0
21,Friday,Education,261840,15,4,212,1,0.24,3,0.98,0.21,0.086,7993,original,0,1,0,0,1,12.475492728293954,0,5.276197091317582,4,1
10,Saturday,Education,478254,90,14,265,0,0.04,1,0.76,0.94,0.076,8499,original,1,0,1,0,0,13.077899342030912,1,5.5791597368123655,5,1
13,Monday,Entertainment,354457,30,12,95,0,0.41,1,0.7,0.98,0.084,7284,original,0,0,0,1,1,12.778345141207613,1,5.529338056483045,0,2
22,Wednesday,Lifestyle,146699,60,11,159,1,0.13,2,0.95,0.38,0.11,10766,original,0,0,0,0,0,11.896144964131073,1,5.05045798565243,2,3
18,Wednesday,Business,275936,90,17,244,0,0.02,1,0.71,0.37,0.069,8495,original,0,1,0,0,0,12.527927857774245,0,5.231171143109698,2,0
22,Wednesday,Lifestyle,244931,90,10,31,1,0.36,2,0.67,0.8,0.097,10678,original,0,0,0,0,0,12.408735899982043,1,5.329494359992818,2,3
23,Thursday,Tech,244629,90,7,294,0,0.78,4,0.83,0.4,0.087,7497,original,0,0,0,0,0,12.407502143937629,1,5.365000857575052,3,5
10,Thursday,Education,210041,90,13,278,0,0.57,3,0.8,0.92,0.094,9181,original,0,0,1,0,0,12.255062789702272,1,5.36002511588091,3,1
22,Friday,Tech,179073,90,4,267,1,0.31,0,0.44,0.66,0.094,12672,original,0,0,0,0,0,12.095554407214651,0,5.120221762885861,4,5
21,Sunday,Entertainment,212624,45,17,38,0,0.65,3,0.63,0.48,0.068,8269,original,1,1,0,1,1,12.267285329698163,0,5.258914131879266,6,2
17,Sunday,Sports,422113,60,8,222,0,0.23,2,0.63,0.87,0.093,13954,original,1,0,0,1,0,12.953030698716415,1,5.527212279486567,6,4
21,Monday,Education,73148,90,10,292,1,0.01,2,0.56,0.59,0.069,6159,original,0,1,0,0,0,11.200253735814842,1,4.712101494325937,0,1
19,Tuesday,Lifestyle,257801,60,7,59,0,0.76,3,0.66,0.93,0.1,10671,original,0,1,0,0,0,12.459947127409032,1,5.453978850963613,1,3
9,Friday,Education,129243,45,18,104,1,0.62,2,0.59,0.94,0.075,7131,original,0,0,1,0,1,11.769457369629714,0,5.1377829478518855,4,1
12,Monday,Business,256995,45,8,97,0,0.76,1,0.44,0.33,0.078,6889,original,0,0,0,0,1,12.4568157995539,1,5.28872631982156,0,0
13,Tuesday,Sports,387318,60,7,53,0,0.04,1,0.59,0.2,0.116,11776,original,0,0,0,1,0,12.867003921877664,1,5.312801568751066,1,4
15,Thursday,Tech,159555,15,18,287,1,0.84,2,0.35,0.99,0.087,9631,original,0,0,0,0,1,11.980150236765528,0,5.228060094706212,3,5
8,Friday,Tech,391502,30,15,180,0,0.62,2,0.7,0.92,0.096,9429,original,0,0,1,0,1,12.877748457218885,1,5.599099382887554,4,5
22,Sunday,Business,53555,15,7,198,0,0.56,1,0.9,0.24,0.103,7359,original,1,0,0,0,1,10.88848311441727,1,4.695393245766907,6,0
13,Thursday,Tech,261508,15,15,193,0,0.62,2,0.81,0.87,0.105,7437,original,0,0,0,0,1,12.474223978720874,1,5.44968959148835,3,5
15,Thursday,Tech,284303,15,19,12,0,0.86,2,0.55,0.57,0.075,5846,original,0,0,0,0,1,12.557799367184856,0,5.4191197468739425,3,5
23,Monday,Tech,377654,90,10,200,1,0.59,3,0.36,0.41,0.108,11506,original,0,0,0,0,0,12.841736359426225,1,5.4086945437704905,0,5
11,Tuesday,Sports,111530,45,15,127,0,0.58,0,0.44,0.9,0.085,10314,original,0,0,0,1,1,11.622057858145823,1,5.032823143258328,1,4
7,Wednesday,Business,85077,15,5,28,1,0.99,1,0.68,0.36,0.102,6219,original,0,0,1,0,1,11.351323761750614,1,4.946529504700246,2,0
16,Thursday,Education,303064,45,10,32,1,0.76,3,0.44,0.96,0.088,4924,original,0,0,0,0,1,12.621702582937214,1,5.4806810331748865,3,1
21,Thursday,Tech,490283,60,4,39,1,0.44,0,0.68,0.36,0.081,10661,original,0,1,0,0,0,13.102740094025068,0,5.537096037610028,3,5
23,Saturday,Business,465337,30,10,117,1,0.71,2,0.46,0.69,0.106,8850,original,1,0,0,0,1,13.050519302239353,1,5.5922077208957415,5,0
22,Thursday,Sports,205551,60,15,290,0,0.39,2,0.89,0.38,0.08,7960,original,0,0,0,1,0,12.23345432227139,1,5.225381728908556,3,4
23,Saturday,Education,487691,60,15,137,1,0.23,3,0.58,0.64,0.096,10770,original,1,0,0,0,0,13.097439338036846,1,5.528975735214739,5,1
15,Sunday,Business,286601,90,3,238,0,0.6,2,0.47,0.75,0.109,10032,original,1,0,0,0,0,12.565849772718922,0,5.39033990908757,6,0
22,Wednesday,Education,464773,30,8,120,1,0.93,4,0.87,0.35,0.07,6556,original,0,0,0,0,1,13.049306544917382,1,5.649722617966954,2,1
16,Friday,Tech,213261,60,18,145,1,0.93,3,0.54,0.62,0.081,10514,original,0,0,0,0,0,12.27027673575196,0,5.326110694300784,4,5
22,Saturday,Entertainment,245181,60,10,195,0,0.34,0,0.38,0.58,0.111,11053,original,1,0,0,1,0,12.409756070887923,1,5.223902428355168,5,2
13,Monday,Tech,346097,30,3,153,1,0.53,3,0.7,0.26,0.108,6926,original,0,0,0,0,1,12.754477250930057,0,5.399790900372023,0,5
10,Tuesday,Education,320139,30,18,81,1,0.21,1,0.71,0.85,0.106,7726,original,0,0,1,0,1,12.676513679100688,0,5.424605471640276,1,1
22,Wednesday,Lifestyle,176829,60,11,138,0,1.0,3,0.8,0.47,0.077,6593,original,0,0,0,0,0,12.082944098049023,1,5.28717763921961,2,3
23,Wednesday,Business,276836,30,15,270,0,0.98,2,0.47,0.66,0.094,9628,original,0,0,0,0,1,12.531184164312775,1,5.43447366572511,2,0
22,Sunday,Lifestyle,443974,60,13,12,1,0.65,2,0.61,0.61,0.069,8387,original,1,0,0,0,0,13.003523533522795,1,5.575409413409118,6,3
9,Tuesday,Lifestyle,470625,60,15,113,1,0.8,4,0.5,0.61,0.102,8547,original,0,0,1,0,0,13.061819002368035,1,5.606727600947214,1,3
15,Tuesday,Sports,207283,90,12,233,1,0.72,4,0.36,0.29,0.072,7203,original,0,0,0,1,0,12.241845112618302,1,5.1707380450473215,1,4
23,Wednesday,Business,201769,15,6,19,1,0.59,4,0.91,0.54,0.117,8620,original,0,0,0,0,1,12.214883713808725,1,5.293953485523491,2,0
18,Saturday,Entertainment,42065,60,8,240,1,0.05,0,0.81,0.56,0.08,15236,original,1,1,0,1,0,10.646995092435022,1,4.542798036974009,5,2
20,Sunday,Tech,228165,45,9,228,1,0.45,4,0.51,0.79,0.114,15462,original,1,1,0,0,1,12.337828713197503,1,5.285131485279002,6,5
23,Sunday,Entertainment,104299,15,7,75,0,0.67,0,0.72,0.87,0.091,8785,original,1,0,0,1,1,11.555026640988864,1,5.074010656395546,6,2
8,Wednesday,Business,430822,15,13,121,0,0.68,4,0.44,0.64,0.1,6031,original,0,0,1,0,1,12.973452611882866,1,5.541381044753147,2,0
22,Sunday,Tech,16534,15,15,22,1,0.37,0,0.92,0.27,0.102,11002,original,1,0,0,0,1,9.713234625415893,1,4.197293850166358,6,5
19,Tuesday,Education,492879,90,12,95,1,0.94,3,0.38,0.39,0.103,14981,original,0,1,0,0,0,13.108021015688452,1,5.585208406275381,1,1
15,Wednesday,Lifestyle,45397,60,12,243,0,0.17,3,0.3,0.33,0.072,7360,original,0,0,0,0,0,10.723223330195648,1,4.4492893320782585,2,3
6,Wednesday,Business,262750,90,13,99,0,0.5,2,0.65,0.3,0.098,8354,original,0,0,0,0,0,12.478962094631099,1,5.281584837852439,2,0
19,Thursday,Tech,358531,60,9,63,1,0.69,0,0.71,0.49,0.089,14860,original,0,1,0,0,0,12.789773195847228,1,5.493909278338892,3,5
8,Friday,Lifestyle,268160,90,6,21,1,0.7,1,0.71,0.38,0.098,6611,original,0,0,1,0,0,12.499342825385847,1,5.357737130154339,4,3
9,Saturday,Education,488005,90,4,218,1,0.65,2,0.34,0.37,0.102,6248,original,1,0,1,0,0,13.098082979841667,0,5.511233191936666,5,1
10,Monday,Lifestyle,60591,45,16,23,1,0.28,3,0.52,0.24,0.098,6505,original,0,0,1,0,1,11.011918150141575,0,4.61276726005663,0,3
13,Wednesday,Lifestyle,225884,90,15,130,0,0.16,0,0.65,0.21,0.095,6979,original,0,0,0,0,0,12.327781299189029,1,5.135112519675611,2,3
6,Wednesday,Education,28247,30,14,29,0,0.64,4,0.45,0.28,0.083,5914,original,0,0,0,0,1,10.248777937608223,1,4.373511175043289,2,1
16,Thursday,Business,29300,45,9,84,0,0.6,1,0.91,0.34,0.076,5322,original,0,0,0,0,1,10.285376924115587,1,4.484150769646235,3,0
16,Saturday,Education,472281,90,4,252,0,0.18,3,0.36,0.54,0.076,6323,original,1,0,0,0,0,13.06533154378806,0,5.442132617515224,5,1
21,Tuesday,Lifestyle,87798,15,15,232,1,0.71,2,0.64,0.61,0.095,9216,original,0,1,0,0,1,11.382805390036706,1,4.945122156014683,1,3
23,Friday,Education,14268,30,16,79,1,0.46,0,0.78,0.31,0.077,8435,original,0,0,0,0,1,9.565844630930576,0,4.136337852372231,4,1
23,Monday,Sports,353951,30,19,220,1,0.67,1,0.48,0.54,0.091,8790,original,0,0,0,1,1,12.776916589701981,0,5.448766635880793,0,4
19,Tuesday,Entertainment,279329,30,11,110,1,0.84,0,0.74,0.47,0.082,13168,original,0,1,0,1,1,12.540149157550685,1,5.426059663020275,1,2
23,Wednesday,Lifestyle,199776,45,19,195,0,0.17,4,0.88,0.35,0.082,9087,original,0,0,0,0,1,12.204957023455222,0,5.161982809382089,2,3
23,Saturday,Business,222851,90,10,141,1,0.02,2,0.43,0.21,0.096,9359,original,1,0,0,0,0,12.314263152981054,1,5.057705261192422,5,0
23,Monday,Tech,437315,90,4,120,1,0.78,0,0.94,0.57,0.111,10764,original,0,0,0,0,0,12.988411324886266,0,5.653364529954506,0,5
20,Thursday,Lifestyle,406787,15,15,141,1,0.61,3,0.69,0.75,0.087,7740,original,0,1,0,0,1,12.916047444196378,1,5.576418977678552,3,3
14,Friday,Business,241584,15,5,29,0,0.7,2,0.51,0.38,0.114,11326,original,0,0,0,0,1,12.39497665702266,1,5.275990662809064,4,0
23,Monday,Business,43044,30,18,33,1,0.84,3,0.6,0.31,0.069,6218,original,0,0,0,0,1,10.670001359092055,0,4.618000543636823,0,0
16,Wednesday,Entertainment,318358,15,8,236,1,0.8,0,0.52,0.91,0.097,7357,original,0,0,0,1,1,12.670934955816724,1,5.514373982326691,2,2
15,Tuesday,Entertainment,459444,45,9,163,0,0.96,2,0.81,0.42,0.065,4823,original,0,0,0,1,1,13.03777451829282,1,5.653109807317128,1,2
18,Sunday,Entertainment,381896,90,12,239,0,0.54,3,0.86,0.38,0.082,11734,original,1,1,0,1,0,12.85290621772321,1,5.497162487089283,6,2
6,Saturday,Entertainment,53984,30,11,211,1,0.49,4,0.88,0.89,0.074,11595,original,1,0,0,1,1,10.896461509181242,1,4.810584603672496,5,2
11,Monday,Sports,307918,15,4,47,1,0.4,4,0.99,0.85,0.091,11680,original,0,0,0,1,1,12.637592040355576,0,5.503036816142231,0,4
20,Friday,Business,269712,45,17,269,0,0.15,0,0.85,0.56,0.063,7876,original,0,1,0,0,1,12.505113709671756,0,5.314045483868703,4,0
13,Tuesday,Entertainment,125151,45,7,197,1,0.57,2,0.72,0.59,0.072,5956,original,0,0,0,1,1,11.73728427755524,1,5.070913711022096,1,2
13,Friday,Education,460808,15,6,66,0,0.28,1,0.54,0.37,0.086,10018,original,0,0,0,0,1,13.040738919423086,1,5.454295567769234,4,1
15,Wednesday,Sports,465779,90,6,29,1,0.92,2,0.68,0.26,0.099,11469,original,0,0,0,1,0,13.051468698627781,1,5.592587479451113,2,4
18,Thursday,Lifestyle,138767,15,6,282,0,0.58,4,0.33,0.66,0.104,11456,original,0,1,0,0,1,11.840558752924236,1,5.050223501169694,3,3
7,Saturday,Tech,129375,30,19,128,1,0.59,3,0.82,0.28,0.103,11146,original,1,0,1,0,1,11.770478172440498,0,5.0461912689762,5,5
7,Monday,Lifestyle,184262,15,14,80,0,0.35,1,0.61,0.56,0.089,10753,original,0,0,1,0,1,12.124119363871966,1,5.153647745548787,0,3
16,Tuesday,Entertainment,141330,45,19,13,0,0.05,0,0.31,0.95,0.096,9689,original,0,0,0,1,1,11.85885993597574,0,5.005543974390297,1,2
19,Tuesday,Business,485754,15,12,230,0,0.03,1,0.34,0.96,0.088,7892,original,0,1,0,0,1,13.093459660547493,1,5.503383864218998,1,0
23,Thursday,Entertainment,306648,90,3,23,0,0.42,0,0.57,0.39,0.068,12230,original,0,0,0,1,0,12.633459050002017,0,5.329383620000807,3,2
13,Sunday,Education,169231,60,16,12,1,0.08,1,0.71,0.7,0.105,7098,original,1,0,0,0,0,12.039025833567834,0,5.113610333427134,6,1
16,Friday,Business,18986,15,17,225,0,0.61,0,0.62,0.58,0.08,5140,original,0,0,0,0,1,9.851509813443416,0,4.302603925377366,4,0
7,Sunday,Lifestyle,66858,90,14,238,1,0.88,0,0.73,0.9,0.112,7287,original,1,0,1,0,0,11.110341203236453,1,4.946136481294581,6,3
17,Wednesday,Education,134312,90,6,195,0,0.88,1,0.64,0.42,0.086,7676,original,0,0,0,0,0,11.80792817603964,1,5.1111712704158565,2,1
6,Saturday,Sports,17666,45,5,64,0,0.66,1,0.76,0.2,0.078,8960,original,1,0,0,1,1,9.77945377161268,1,4.235781508645072,5,4
13,Thursday,Entertainment,305804,90,14,263,0,0.21,0,0.45,0.33,0.108,14822,original,0,0,0,1,0,12.63070292289935,1,5.25028116915974,3,2
14,Sunday,Lifestyle,139633,90,9,33,0,0.86,4,0.38,0.48,0.093,6589,original,1,0,0,0,0,11.846779992664786,1,5.082711997065914,6,3
15,Monday,Education,293998,90,13,171,0,0.89,1,0.72,0.45,0.113,10899,original,0,0,0,0,0,12.59133164495449,1,5.448532657981796,0,1
20,Wednesday,Sports,331649,90,3,167,1,0.2,2,0.64,0.83,0.088,11634,original,0,1,0,1,0,12.711835474953702,0,5.418734189981482,2,4
20,Thursday,Lifestyle,109488,30,8,91,1,0.74,3,0.32,0.74,0.073,11387,original,0,1,0,0,1,11.603579366571584,1,5.001431746628633,3,3
23,Friday,Entertainment,188323,30,17,168,1,0.29,0,0.57,0.44,0.078,9960,original,0,0,0,1,1,12.14591916271033,0,5.118367665084132,4,2
14,Saturday,Tech,289806,45,17,197,1,0.8,0,0.37,0.57,0.107,10550,original,1,0,0,0,1,12.576970463166374,0,5.37878818526655,5,5
22,Sunday,Entertainment,275536,15,13,69,1,1.0,3,0.67,0.28,0.089,10653,original,1,0,0,1,1,12.526477199827916,1,5.400590879931167,6,2
18,Sunday,Entertainment,35535,90,4,220,0,0.03,4,0.58,0.92,0.101,12892,original,1,1,0,1,0,10.478301546134208,0,4.497320618453683,6,2
16,Wednesday,Lifestyle,476819,15,16,161,1,0.9,3,0.73,0.95,0.11,6509,original,0,0,0,0,1,13.07489434016228,0,5.745957736064912,2,3
13,Monday,Tech,380713,15,4,118,1,0.62,1,0.86,0.98,0.096,6084,original,0,0,0,0,1,12.849803716057444,0,5.631921486422977,0,5
18,Friday,Entertainment,319400,45,6,85,1,0.97,3,0.51,0.89,0.132,17484,original,0,1,0,1,1,12.67420264562853,1,5.543681058251412,4,2
13,Thursday,Entertainment,356279,90,19,39,1,0.47,0,0.97,0.34,0.115,14575,original,0,0,0,1,0,12.783472217545805,0,5.469388887018322,3,2
20,Wednesday,Sports,394622,90,5,126,0,0.85,3,0.67,0.24,0.08,11004,original,0,1,0,1,0,12.885686157744821,1,5.506274463097929,2,4
18,Saturday,Entertainment,302366,60,15,201,1,0.06,2,0.73,0.66,0.082,14343,original,1,1,0,1,0,12.619396790348606,1,5.337758716139442,5,2
19,Tuesday,Business,82373,15,11,28,1,0.34,1,0.78,0.93,0.11,8259,original,0,1,0,0,1,11.31902513212566,1,4.937610052850263,1,0
19,Tuesday,Education,477791,15,9,182,1,0.07,3,0.77,0.34,0.094,15177,original,0,1,0,0,1,13.07693077032639,1,5.466772308130556,1,1
15,Sunday,Business,128684,30,17,237,1,0.98,0,0.66,0.21,0.111,10475,original,1,0,0,0,1,11.765122836675175,0,5.076049134670069,6,0
9,Tuesday,Lifestyle,494570,60,13,192,0,0.82,1,0.6,0.84,0.118,8034,original,0,0,1,0,0,13.111445999111476,1,5.696578399644591,1,3
17,Sunday,Sports,482867,30,4,122,0,0.85,0,0.34,0.26,0.088,13464,original,1,0,0,1,1,13.0874986033582,0,5.5249994413432795,6,4
7,Wednesday,Business,461551,30,17,192,1,0.94,4,0.32,0.53,0.097,6673,original,0,0,1,0,1,13.042350002633912,0,5.574940001053565,2,0
10,Thursday,Education,278109,30,16,155,1,0.09,2,0.55,0.74,0.107,9976,original,0,0,1,0,1,12.535771997863957,0,5.290308799145583,3,1
8,Thursday,Entertainment,29538,45,13,125,0,0.39,4,0.53,0.39,0.081,9623,original,0,0,1,1,1,10.293466703108844,1,4.379386681243538,3,2
11,Tuesday,Sports,375210,45,5,122,0,0.07,2,0.57,0.27,0.088,9636,original,0,0,0,1,1,12.835243813381679,1,5.3160975253526725,1,4
15,Wednesday,Tech,206664,30,19,260,0,0.21,3,0.4,0.82,0.079,6338,original,0,0,0,0,1,12.238854403804517,0,5.181541761521807,2,5
10,Wednesday,Sports,496234,60,14,260,0,0.23,1,0.82,0.7,0.067,8817,original,0,0,1,1,0,13.11480488382645,1,5.5959219535305795,2,4
15,Wednesday,Tech,380396,15,17,127,1,0.47,3,0.9,0.99,0.094,6484,original,0,0,0,0,1,12.848970723186943,0,5.611588289274778,2,5
6,Wednesday,Business,144182,60,18,170,1,0.27,2,0.96,0.48,0.092,8029,original,0,0,0,0,0,11.878838605066278,0,5.0935354420265115,2,0
